topic	definition
I-APF	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
I-APM	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
I-ASF	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
I-ASM	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
I-ASN	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
I-DPM	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
I-DSF	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
I-DSM	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
I-DSN	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
I-GPM	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
I-GPN	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
I-GSF	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
I-GSM	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
I-GSN	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
I-NPM	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
I-NPN	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
I-NSF	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
I-NSM	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
I-NSN	<p><b>Part of Speech:</b> Interrogative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
INJ	<p><b>Part of Speech:</b> INterJection</p>
K-APF	<p><b>Part of Speech:</b> correlative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
K-APM	<p><b>Part of Speech:</b> correlative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
K-APN	<p><b>Part of Speech:</b> correlative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
K-ASM	<p><b>Part of Speech:</b> correlative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
K-ASN	<p><b>Part of Speech:</b> correlative pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
K-DSN	<p><b>Part of Speech:</b> correlative pronoun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
K-GPM	<p><b>Part of Speech:</b> correlative pronoun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
K-GSN	<p><b>Part of Speech:</b> correlative pronoun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
K-NPF	<p><b>Part of Speech:</b> correlative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
K-NPM	<p><b>Part of Speech:</b> correlative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
K-NPN	<p><b>Part of Speech:</b> correlative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
K-NSM	<p><b>Part of Speech:</b> correlative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
K-NSN	<p><b>Part of Speech:</b> correlative pronoun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
N-APF	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
N-APF-C	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p><p>Contracted form</p>
N-APM	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
N-APN	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
N-APN-C	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p><p>Contracted form</p>
N-ASF	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
N-ASF-C	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p><p>Contracted form</p>
N-ASM	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
N-ASN	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
N-DPF	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
N-DPM	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
N-DPN	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
N-DSF	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
N-DSM	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
N-DSN	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
N-GMP	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Gender:</b> Masculine</p><p>Particle attached</p>
N-GPF	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
N-GPM	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
N-GPN	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
N-GSF	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
N-GSM	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
N-GSN	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
N-LI	<p><b>Part of Speech:</b> Indeclinable Letter (Noun)</p>
N-NAM	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p>
N-NPF	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
N-NPM	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
N-NPN	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
N-NSF	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
N-NSM	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
N-NSN	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
N-NSN-C	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p><p>Contracted form</p>
N-OI	<p><b>Part of Speech:</b> Indeclinable Noun of Other type</p>
N-PRI	<p><b>Part of Speech:</b> Indeclinable PRoper Noun</p>
N-VPF	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Vocative (direct address)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
N-VPM	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Vocative (direct address)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
N-VPN	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Vocative (direct address)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
N-VSF	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Vocative (direct address)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
N-VSM	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Vocative (direct address)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
N-VSN	<p><b>Part of Speech:</b> Noun</p><p><b>Case:</b> Vocative (direct address)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
P-1AP	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> first [we]</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p>
P-1AS	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> first [I]</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p>
P-1AS-K	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> first [I]</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p>Combined with &quot;kai&quot;, contracted form</p>
P-1DP	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> first [we]</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p>
P-1DS	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> first [I]</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p>
P-1DS-K	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> first [I]</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p>Combined with &quot;kai&quot;, contracted form</p>
P-1GP	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> first [we]</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p>
P-1GS	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> first [I]</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p>
P-1NP	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> first [we]</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p>
P-1NS	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> first [I]</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p>
P-1NS-K	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> first [I]</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p>Combined with &quot;kai&quot;, contracted form</p>
P-2AP	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> second [you+]</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p>
P-2AS	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> second [you]</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p>
P-2DP	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> second [you+]</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p>
P-2DS	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> second [you]</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p>
P-2GP	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> second [you+]</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p>
P-2GS	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> second [you]</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p>
P-2NP	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> second [you+]</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p>
P-2NS	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Person:</b> second [you]</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p>
P-APF	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
P-APM	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
P-APN	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
P-ASF	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
P-ASM	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
P-ASN	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
P-DPF	<p><b>Part of Speech:</b> Personal pronoun</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
